CompanyName	Value(1000s)	Shares	OrderType
MARLIN BUSINESS SVCS CORP	4985	198200	Market
MARRIOTT INTL INC NEW	12506	124671	Market
MARRIOTT VACATIONS WRLDWDE C	13800	117200	Market
MARSH & MCLENNAN COS INC	8864	113700	Market
MARTEN TRANS LTD	540	19717	Market
MARTIN MARIETTA MATLS INC	27331	122794	Market
MARVELL TECHNOLOGY GROUP LTD	64199	3886158	Market
MASCO CORP	19602	513000	Market
MASIMO CORP	56577	620500	Market
MASONITE INTL CORP NEW	32367	428700	Market
MASTECH DIGITAL INC	117	18100	Market
MASTERCARD INCORPORATED	534854	4403900	Market
MATERIALISE NV	2475	208500	Market
MATRIX SVC CO	976	104426	Market
MATSON INC	4617	153700	Market
MATTERSIGHT CORP	1235	484400	Market
MAUI LD & PINEAPPLE INC	3372	166100	Market
MAXIM INTEGRATED PRODS INC	38358	854300	Market
MAXLINEAR INC	3880	139113	Market
MAXPOINT INTERACTIVE INC	291	39210	Market
MB FINANCIAL INC NEW	515	11700	Market
MBIA INC	7307	774879	Market
MBT FINL CORP	4665	480939	Market
MCBC HLDGS INC	15110	772900	Market
MCCLATCHY CO	469	50230	Market
MCCORMICK & CO INC	96252	987100	Market
MCDONALDS CORP	164295	1072700	Market
MCEWEN MNG INC	59	22500	Market
MCGRATH RENTCORP	18846	544202	Market
MCKESSON CORP	164688	1000900	Market
MDC PARTNERS INC	2274	229700	Market
MECHEL PAO	306	286300	Market
MECHEL PAO	81	17600	Market
MEDEQUITIES RLTY TR INC	1583	125400	Market
MEDICINES CO	12499	328832	Market
MEDICINOVA INC	58	11000	Market
MEDIDATA SOLUTIONS INC	12566	160694	Market
MEDIFAST INC	39649	956100	Market
MEDIWOUND LTD	545	80100	Market
MEDLEY MGMT INC	805	123900	Market
MEDTRONIC PLC	38518	434000	Market
MEI PHARMA INC	3898	1630813	Market
MELCO RESORT ENTERTAINMENT L	61403	2735100	Market
MERCADOLIBRE INC	78224	311800	Market
MERCANTILE BANK CORP	21445	681215	Market
MERCER INTL INC	18092	1573200	Market
MERCK & CO INC	294310	4592134	Market
MERCURY GENL CORP NEW	16038	297000	Market
MERIDIAN BANCORP INC MD	28456	1683758	Market
MERIDIAN BIOSCIENCE INC	30985	1967300	Market
MERIT MED SYS INC	16573	434412	Market
MESA LABS INC	12507	87271	Market
MESA RTY TR	168	14355	Market
MESABI TR	737	54007	Market
MESOBLAST LTD	181	22714	Market
META FINL GROUP INC	14258	160200	Market
METHANEX CORP	16659	378098	Market
METHODE ELECTRS INC	43173	1047880	Market
METLIFE INC	123167	2241854	Market
METTLER TOLEDO INTERNATIONAL	12117	20588	Market
MFA FINL INC	29467	3512200	Market
MFC BANCORP LTD	886	497614	Market
MGC DIAGNOSTICS CORP	2301	280645	Market
MGE ENERGY INC	13993	217450	Market
MGIC INVT CORP WIS	40397	3606900	Market
MGM GROWTH PPTYS LLC	15693	537600	Market
MGP INGREDIENTS INC NEW	1801	35200	Market
MICHAEL KORS HLDGS LTD	22511	621000	Market
MICHAELS COS INC	1476	79700	Market
MICROCHIP TECHNOLOGY INC	71857	931028	Market
MICRON SOLUTIONS INC	391	100200	Market
MICROSTRATEGY INC	31012	161800	Market
MID AMER APT CMNTYS INC	198640	1884990	Market
MIDDLEBY CORP	8988	73970	Market
MIDDLESEX WATER CO	20925	528400	Market
MIDLAND STS BANCORP INC ILL	1901	56722	Market
MIDSOUTH BANCORP INC	3988	339421	Market
MIDSTATES PETE CO INC	1058	83500	Market
MIDWESTONE FINL GROUP INC NE	5389	159000	Market
MILACRON HLDGS CORP	5171	294000	Market
MILLER HERMAN INC	318	10465	Market
MILLER INDS INC TENN	733	29500	Market
MIMECAST LTD	18334	684600	Market
MIMEDX GROUP INC	7281	486400	Market
MIND C T I LTD	324	129183	Market
MINDBODY INC	30216	1110900	Market
MINERALS TECHNOLOGIES INC	1355	18509	Market
MINERVA NEUROSCIENCES INC	131	14800	Market
MISONIX INC	1602	167800	Market
MISTRAS GROUP INC	6453	293700	Market
MITCHAM INDS INC	927	238900	Market
MITEK SYS INC	651	77476	Market
MITEL NETWORKS CORP	5132	698288	Market
MITSUBISHI UFJ FINL GROUP IN	16113	2387171	Market
MIX TELEMATICS LTD	5036	639100	Market
MIZUHO FINL GROUP INC	9898	2697000	Market
MKS INSTRUMENT INC	31823	472852	Market
MMA CAP MGMT LLC	367	16062	Market
MOBILE MINI INC	354	11870	Market
MOBILE TELESYSTEMS PJSC	119601	14272254	Market
MOBILEIRON INC	16587	2741600	Market
MODEL N INC	5535	416184	Market
MODINE MFG CO	3021	182544	Market
MODUSLINK GLOBAL SOLUTIONS I	3057	1787542	Market
MOELIS & CO	6416	165144	Market
MOLINA HEALTHCARE INC	57575	832250	Market
MOMENTA PHARMACEUTICALS INC	13476	797400	Market
MOMO INC	10807	292400	Market
MONARCH CASINO & RESORT INC	7245	239500	Market
MONDELEZ INTL INC	148034	3427498	Market
MONEYGRAM INTL INC	32349	1875291	Market
MONMOUTH REAL ESTATE INVT CO	25206	1674797	Market
MONOGRAM RESIDENTIAL TR INC	18461	1901200	Market
MONOLITHIC PWR SYS INC	386	4000	Market
MONOTYPE IMAGING HOLDINGS IN	15112	825800	Market
MONRO MUFFLER BRAKE INC	1804	43206	Market
MONSANTO CO NEW	121556	1027000	Market
MONSTER BEVERAGE CORP NEW	92812	1868200	Market
MOODYS CORP	38658	317700	Market
MOOG INC	331	4600	Market
MORGAN STANLEY	21567	484000	Market
MORNINGSTAR INC	46307	591100	Market
MOSAIC CO NEW	27850	1219900	Market
MOSYS INC	51	29741	Market
MOTOROLA SOLUTIONS INC	77955	898715	Market
MOVADO GROUP INC	3017	119500	Market
MPLX LP	21258	636467	Market
MRV COMMUNICATIONS INC	1142	115900	Market
MSA SAFETY INC	4586	56500	Market
MSB FINL CORP NEW	1160	66500	Market
MSC INDL DIRECT INC	26484	308100	Market
MSCI INC	15409	149621	Market
MSG NETWORK INC	9317	415000	Market
MTGE INVT CORP	4533	241100	Market
MTS SYS CORP	7807	150718	Market
MUELLER INDS INC	2634	86500	Market
MUELLER WTR PRODS INC	1528	130800	Market
MULTI COLOR CORP	1134	13900	Market
MUTUALFIRST FINL INC	6358	178100	Market
MYERS INDS INC	3227	179800	Market
MYOVANT SCIENCES LTD	313	26711	Market
MYR GROUP INC DEL	5348	172400	Market
NABORS INDUSTRIES LTD	24020	2950900	Market
NACCO INDS INC	6270	88500	Market
NAM TAI PPTY INC	757	94640	Market
NANOMETRICS INC	25581	1011500	Market
NANOSTRING TECHNOLOGIES INC	6257	378300	Market
NANOVIRICIDES INC	610	451600	Market
NANTHEALTH INC	346	81700	Market
NANTKWEST INC	679	89400	Market
NAPCO SEC TECHNOLOGIES INC	2826	300618	Market
NASDAQ INC	45597	637808	Market
NATERA INC	4984	458900	Market
NATHANS FAMOUS INC NEW	11894	188800	Market
NATIONAL BANKSHARES INC VA	2517	61700	Market
NATIONAL BEVERAGE CORP	60346	645000	Market
NATIONAL BK HLDGS CORP	38239	1154900	Market
NATIONAL CINEMEDIA INC	2253	303700	Market
NATIONAL COMM CORP	3476	87900	Market
NATIONAL GEN HLDGS CORP	2825	133900	Market
NATIONAL GRID PLC	143416	2282973	Market
NATIONAL HEALTH INVS INC	10740	135600	Market
NATIONAL HEALTHCARE CORP	29634	422500	Market
NATIONAL OILWELL VARCO INC	9177	278610	Market
NATIONAL PRESTO INDS INC	8321	75300	Market
NATIONAL RESH CORP	4659	173200	Market
NATIONAL RESH CORP	286	6000	Market
NATIONAL RETAIL PPTYS INC	3976	101700	Market
NATIONAL STORAGE AFFILIATES	26429	1143600	Market
NATIONAL WESTMINSTER BK PLC	3331	126900	Market
NATIONAL WESTN LIFE GROUP IN	5018	15700	Market
NATIONSTAR MTG HLDGS INC	242	13500	Market
NATURAL ALTERNATIVES INTL IN	4609	463200	Market
NATURAL GAS SERVICES GROUP	8775	353100	Market
NATURAL GROCERS BY VITAMIN C	2402	290400	Market
NATURAL HEALTH TRENDS CORP	25360	910600	Market
NATURES SUNSHINE PRODUCTS IN	4885	368700	Market
NATUS MEDICAL INC DEL	4736	126962	Market
NATUZZI S P A	109	41300	Market
NAVIGANT CONSULTING INC	6853	346799	Market
NAVIGATOR HOLDINGS LTD	1517	182800	Market
NAVIGATORS GROUP INC	22371	407492	Market
NAVIOS MARITIME HOLDINGS INC	2190	1598802	Market
NBT BANCORP INC	839	22700	Market
NCI BUILDING SYS INC	33974	2034400	Market
NCI INC	10252	485855	Market
NCR CORP NEW	1793	43900	Market
NEENAH PAPER INC	2119	26400	Market
NEFF CORP	4799	252600	Market
NELNET INC	12467	265200	Market
NEOGEN CORP	11818	171000	Market
NEOPHOTONICS CORP	2383	308700	Market
NEOTHETICS INC	30	56100	Market
NET 1 UEPS TECHNOLOGIES INC	16298	1652967	Market
NETAPP INC	133750	3339574	Market
NETEASE INC	819517	2726000	Market
NETFLIX INC	92530	619300	Market
NETGEAR INC	33768	783473	Market
NETSCOUT SYS INC	2122	61700	Market
NETSOL TECHNOLOGIES INC	1206	305300	Market
NETWORK 1 TECHNOLOGIES INC	3951	929748	Market
NEUROMETRIX INC	99	36883	Market
NEVADA GOLD & CASINOS INC	2412	1071900	Market
NEVSUN RES LTD	7620	3161900	Market
NEW HOME CO INC	2450	213600	Market
NEW JERSEY RES	3811	96000	Market
NEW RELIC INC	8421	195800	Market
NEW RESIDENTIAL INVT CORP	16976	1090998	Market
NEW SR INVT GROUP INC	17637	1754900	Market
NEW YORK & CO INC	1542	1117500	Market
NEW YORK CMNTY BANCORP INC	135100	10289400	Market
NEW YORK MTG TR INC	499	80180	Market
NEW YORK REIT INC	9873	1142700	Market
NEW YORK TIMES CO	31745	1793500	Market
NEWELL BRANDS INC	52501	979127	Market
NEWFIELD EXPL CO	42542	1494800	Market
NEWLINK GENETICS CORP	1580	214904	Market
NEWMARKET CORP	9256	20100	Market
NEWS CORP NEW	543	38392	Market
NEWSTAR FINANCIAL INC	651	62000	Market
NEXPOINT RESIDENTIAL TR INC	19417	780100	Market
NEXSTAR MEDIA GROUP INC	4049	67705	Market
NEXTERA ENERGY INC	192693	1375100	Market
NEXTERA ENERGY PARTNERS LP	2756	74500	Market
NGL ENERGY PARTNERS LP	3510	250700	Market
NIC INC	21695	1144858	Market
NICE LTD	6081	77244	Market
NICHOLAS FINANCIAL INC	4879	530329	Market
NICOLET BANKSHARES INC	1559	28500	Market
NIELSEN HLDGS PLC	77684	2009413	Market
NIKE INC	101039	1712531	Market
NISOURCE INC	29570	1166000	Market
NIVALIS THERAPEUTICS INC	35	14600	Market
NL INDS INC	2317	328702	Market
NMI HLDGS INC	23185	2024900	Market
NOBLE MIDSTREAM PARTNERS LP	1617	35625	Market
NOKIA CORP	20506	3328880	Market
NOMAD FOODS LTD	6093	431800	Market
NOODLES & CO	1526	391200	Market
NORBORD INC	1893	60800	Market
NORD ANGLIA EDUCATION INC	31742	974585	Market
NORDIC AMERN OFFSHORE LTD	29	23100	Market
NORDSON CORP	1445	11914	Market
NORFOLK SOUTHERN CORP	60801	499600	Market
NORSAT INTL INC NEW	1074	94192	Market
NORTECH SYS INC	77	21600	Market
NORTEL INVERSORA S A	11961	383000	Market
NORTH AMERN ENERGY PARTNERS	4116	935500	Market
NORTH ATLANTIC DRILLING LTD	655	492640	Market
NORTH EUROPEAN OIL RTY TR	315	46532	Market
NORTHEAST BANCORP	3140	154308	Market
NORTHERN DYNASTY MINERALS LT	726	520100	Market
NORTHERN TECH INTL CORP	337	21600	Market
NORTHERN TR CORP	4569	46998	Market
NORTHFIELD BANCORP INC DEL	33693	1964618	Market
NORTHRIM BANCORP INC	2155	70900	Market
NORTHROP GRUMMAN CORP	319707	1245400	Market
NORTHSTAR REALTY EUROPE CORP	4518	356300	Market
NORTHWEST BANCSHARES INC MD	41281	2644554	Market
NORTHWEST NAT GAS CO	25562	427100	Market
NORTHWEST PIPE CO	2228	137000	Market
NORTHWESTERN CORP	1527	25026	Market
NORWOOD FINANCIAL CORP	499	11800	Market
NOVA MEASURING INSTRUMENTS L	48481	2194700	Market
NOVANTA INC	32051	890300	Market
NOVARTIS A G	123077	1474500	Market
NOVAVAX INC	1433	1246164	Market
NOVELION THERAPEUTICS INC	1355	146839	Market
NOVO-NORDISK A S	580486	13534300	Market
NOVOGEN LIMITED	124	137300	Market
NOVUS THERAPEUTICS INC	367	62776	Market
NOW INC	1532	95300	Market
NRG ENERGY INC	847	49200	Market
NRG YIELD INC	241	13700	Market
NTN BUZZTIME INC	283	41629	Market
NTT DOCOMO INC	92710	3920100	Market
NUANCE COMMUNICATIONS INC	17380	998255	Market
NUMEREX CORP PA	1379	279800	Market
NUSTAR GP HOLDINGS LLC	1521	62200	Market
NUTRACEUTICAL INTL CORP	15894	381600	Market
NUTRI SYS INC NEW	125654	2414100	Market
NUVASIVE INC	24221	314888	Market
NUVECTRA CORP	1243	93600	Market
NVE CORP	8362	108600	Market
NVIDIA CORP	687931	4758793	Market
NVR INC	27505	11410	Market
NXP SEMICONDUCTORS N V	242310	2213888	Market
NXSTAGE MEDICAL INC	371	14783	Market
NYMOX PHARMACEUTICAL CORP	240	54500	Market
O REILLY AUTOMOTIVE INC NEW	188553	861994	Market
O2MICRO INTERNATIONAL LTD	3989	2035200	Market
OAKTREE CAP GROUP LLC	11061	237370	Market
OASIS PETE INC NEW	17572	2182800	Market
OCEAN BIO CHEM INC	130	31600	Market
OCEANFIRST FINL CORP	36145	1332791	Market
OCH ZIFF CAP MGMT GROUP	660	257900	Market
OCI PARTNERS LP	403	45538	Market
OCWEN FINL CORP	2888	1073700	Market
OFG BANCORP	1532	153170	Market
OGE ENERGY CORP	16929	486600	Market
OHIO VY BANC CORP	1024	28393	Market
OHR PHARMACEUTICAL INC	373	583209	Market
OIL DRI CORP AMER	17124	407625	Market
OIL STS INTL INC	9264	341200	Market
OLD DOMINION FGHT LINES INC	12250	128627	Market
OLD LINE BANCSHARES INC	5416	192200	Market
OLD NATL BANCORP IND	4180	242324	Market
OLD POINT FINL CORP	444	13500	Market
OLD REP INTL CORP	133300	6825385	Market
OLD SECOND BANCORP INC ILL	9751	844200	Market
OLLIES BARGAIN OUTLT HLDGS I	2522	59200	Market
OLYMPIC STEEL INC	1206	61900	Market
OM ASSET MGMT PLC	18212	1225600	Market
OMEGA FLEX INC	979	15200	Market
OMEGA PROTEIN CORP	6485	362300	Market
OMNICOM GROUP INC	23610	284800	Market
OMNOVA SOLUTIONS INC	11214	1150175	Market
ON DECK CAP INC	2460	527800	Market
ON SEMICONDUCTOR CORP	14689	1046196	Market
ON TRACK INNOVATION LTD	940	717290	Market
ONCOGENEX PHARMACEUTICALS IN	362	1005300	Market
ONCOMED PHARMACEUTICALS INC	1231	369596	Market
ONCONOVA THERAPEUTICS INC	245	113200	Market
ONE GAS INC	2297	32900	Market
ONE LIBERTY PPTYS INC	10766	459500	Market
ONEBEACON INSURANCE GROUP LT	12154	666700	Market
ONEMAIN HLDGS INC	4198	170700	Market
ONEOK INC NEW	41113	788200	Market
ONEOK PARTNERS LP	13227	259000	Market
ONVIA INC	854	194000	Market
OOMA INC	6729	841100	Market
OPEN TEXT CORP	7318	231800	Market
OPHTHOTECH CORP	4268	1667100	Market
OPKO HEALTH INC	10631	1615691	Market
OPPENHEIMER HLDGS INC	805	49100	Market
OPTICAL CABLE CORP	234	97700	Market
ORACLE CORP	10160	202632	Market
ORAMED PHARM INC	195	25100	Market
ORASURE TECHNOLOGIES INC	88093	5103903	Market
ORBCOMM INC	3520	311500	Market
ORBOTECH LTD	76755	2353000	Market
ORCHID IS CAP INC	3017	306000	Market
ORCHIDS PAPER PRODS CO DEL	693	53500	Market
ORIENT PAPER INC	89	85900	Market
ORION ENERGY SYSTEMS INC	1030	805000	Market
ORION ENGINEERED CARBONS S A	25030	1254612	Market
ORION GROUP HOLDINGS INC	4171	558300	Market
ORITANI FINL CORP DEL	28264	1657725	Market
ORIX CORP	3304	42400	Market
ORMAT TECHNOLOGIES INC	63683	1085257	Market
ORRSTOWN FINL SVCS INC	3829	167562	Market
ORTHOFIX INTL N V	21175	455579	Market
OSI SYSTEMS INC	4660	62008	Market
OSISKO GOLD ROYALTIES LTD	1640	134174	Market
OSSEN INNOVATION CO LTD	32	14633	Market
OTTER TAIL CORP	21998	555510	Market
OUTFRONT MEDIA INC	985	42600	Market
OVERSEAS SHIPHOLDING GROUP I	709	266500	Market
OVERSTOCK COM INC DEL	15224	934000	Market
OWENS & MINOR INC NEW	17471	542750	Market
OWENS CORNING NEW	47553	710600	Market
OWENS RLTY MTG INC	1849	108995	Market
OXFORD IMMUNOTEC GLOBAL PLC	4064	241600	Market
P A M TRANSN SVCS INC	6362	335700	Market
P T TELEKOMUNIKASI INDONESIA	70559	2095600	Market
PACCAR INC	82298	1246178	Market
PACIFIC CONTINENTAL CORP	12954	507000	Market
PACIFIC DRILLING SA LUXEMBOU	201	117290	Market
PACIFIC ETHANOL INC	619	99082	Market
PACIFIC MERCANTILE BANCORP	4122	468400	Market
PACIFIC PREMIER BANCORP	2067	56008	Market
PACIRA PHARMACEUTICALS INC	849	17800	Market
PACKAGING CORP AMER	2451	22000	Market
PACWEST BANCORP DEL	18631	398953	Market
PAIN THERAPEUTICS INC	268	64621	Market
PALO ALTO NETWORKS INC	287330	2147300	Market
PAN AMERICAN SILVER CORP	46033	2736800	Market
PANERA BREAD CO	36278	115300	Market
PAPA JOHNS INTL INC	49419	688668	Market
PAR TECHNOLOGY CORP	2267	266400	Market
PARAGON COML CORP	1504	28665	Market
PARAMOUNT GOLD NEV CORP	78	50700	Market
PARATEK PHARMACEUTICALS INC	14382	596749	Market
PARK CITY GROUP INC	683	56227	Market
PARK ELECTROCHEMICAL CORP	19765	1073000	Market
PARK NATL CORP	7842	75605	Market
PARK OHIO HLDGS CORP	3726	97800	Market
PARK STERLING CORP	11500	967973	Market
PARKE BANCORP INC	1252	55879	Market
PARKER DRILLING CO	2203	1632100	Market
PARSLEY ENERGY INC	11674	420700	Market
PARTNER COMMUNICATIONS CO LT	13815	2672100	Market
PARTY CITY HOLDCO INC	540	34500	Market
PATHEON N V	12846	368300	Market
PATRICK INDS INC	1202	16501	Market
PATTERN ENERGY GROUP INC	5016	210400	Market
PATTERSON UTI ENERGY INC	28170	1395238	Market
PAYCHEX INC	2357	41400	Market
PAYCOM SOFTWARE INC	6338	92650	Market
PAYLOCITY HLDG CORP	3018	66800	Market
PAYPAL HLDGS INC	3306	61600	Market
PB BANCORP INC	181	17156	Market
PBF LOGISTICS LP	3304	169414	Market
PC CONNECTION INC	5312	196300	Market
PC-TEL INC	10338	1460199	Market
PCM INC	5304	282900	Market
PDF SOLUTIONS INC	1372	83400	Market
PDL BIOPHARMA INC	26440	10704400	Market
PEAK RESORTS INC	802	195700	Market
PEAPACK-GLADSTONE FINL CORP	9365	299310	Market
PEARSON PLC	9268	1033200	Market
PEGASYSTEMS INC	6671	114324	Market
PEMBINA PIPELINE CORP	1716	51800	Market
PENDRELL CORP	2762	382070	Market
PENN NATL GAMING INC	19891	929500	Market
PENNS WOODS BANCORP INC	3739	90800	Market
PENNTEX MIDSTREAM PARTNERS L	740	37000	Market
PENNYMAC FINL SVCS INC	1314	78700	Market
PENNYMAC MTG INVT TR	3329	182000	Market
PENSKE AUTOMOTIVE GRP INC	16321	371700	Market
PEOPLES BANCORP INC	9565	297700	Market
PEOPLES BANCORP N C INC	319	10099	Market
PEOPLES FINL CORP MISS	415	30200	Market
PEOPLES FINL SVCS CORP	1828	41800	Market
PEOPLES UNITED FINANCIAL INC	22509	1274586	Market
PEOPLES UTAH BANCORP	2253	84085	Market
PEPSICO INC	651675	5642700	Market
PERCEPTRON INC	3826	525600	Market
PEREGRINE PHARMACEUTICALS IN	2048	3368052	Market
PERFICIENT INC	432	23193	Market
PERFORMANCE FOOD GROUP CO	9368	341900	Market
PERFORMANT FINL CORP	1653	791100	Market
PERFUMANIA HLDGS INC	124	74439	Market
PERION NETWORK LTD	3821	1939400	Market
PERMA PIPE INTL HLDGS INC	1068	133500	Market
PERMA-FIX ENVIRONMENTAL SVCS	318	87206	Market
PERMIAN BASIN RTY TR	1590	182801	Market
PERNIX THERAPEUTICS HLDGS IN	3216	800050	Market
PERRIGO CO PLC	27377	362508	Market
PETMED EXPRESS INC	66884	1647400	Market
PETROCHINA CO LTD	24310	396700	Market
PETROLEO BRASILEIRO SA PETRO	6217	833400	Market
PETROLEO BRASILEIRO SA PETRO	149844	18753988	Market
PETROQUEST ENERGY INC	708	357325	Market
PFENEX INC	2202	549100	Market
PFIZER INC	268389	7990141	Market
PFSWEB INC	4323	523339	Market
PG&E CORP	113851	1715400	Market
PGT INNOVATIONS INC	30128	2353729	Market
PHARMERICA CORP	1953	74389	Market
PHH CORP	36661	2662400	Market
PHI INC	4137	423900	Market
PHIBRO ANIMAL HEALTH CORP	7921	213784	Market
PHILIP MORRIS INTL INC	360196	3066800	Market
PHOENIX NEW MEDIA LTD	3387	1287810	Market
PHOTOMEDEX INC	131	110600	Market
PHOTRONICS INC	19016	2023000	Market
PICO HLDGS INC	3554	203100	Market
PIEDMONT OFFICE REALTY TR IN	44005	2087500	Market
PIER 1 IMPORTS INC	5605	1080000	Market
PIERIS PHARMACEUTICALS INC	586	115900	Market
PILGRIMS PRIDE CORP NEW	9750	444800	Market
PINNACLE ENTMT INC NEW	20378	1031300	Market
PINNACLE FOODS INC DEL	152046	2559700	Market
PINNACLE WEST CAP CORP	8908	104600	Market
PIONEER ENERGY SVCS CORP	400	195198	Market
PIONEER NAT RES CO	3910	24500	Market
PIONEER PWR SOLUTIONS INC	140	21400	Market
PIPER JAFFRAY COS	4274	71300	Market
PITNEY BOWES INC	16749	1109175	Market
PIXELWORKS INC	3852	839200	Market
PJT PARTNERS INC	20267	503900	Market
PLAINS ALL AMERN PIPELINE L	50481	1921614	Market
PLAINS GP HLDGS L P	11261	430461	Market
PLANET FITNESS INC	18656	799306	Market
PLANET PAYMENT INC	3002	909600	Market
PLANTRONICS INC NEW	15510	296500	Market
PLATFORM SPECIALTY PRODS COR	9931	783172	Market
PLDT INC	89815	2543600	Market
PLEXUS CORP	16675	317200	Market
PLUMAS BANCORP	268	12590	Market
PLURISTEM THERAPEUTICS INC	1998	1561300	Market
PLY GEM HLDGS INC	22842	1272548	Market
PNM RES INC	60328	1577200	Market
POINTER TELOCATION LTD	2548	219640	Market
POINTS INTL LTD	3233	357600	Market
POLARITYTE INC	307	13280	Market
POLYONE CORP	7599	196158	Market
PORTLAND GEN ELEC CO	54887	1201300	Market
PORTOLA PHARMACEUTICALS INC	21187	377200	Market
POSCO	1965	31400	Market
POST HLDGS INC	63984	824000	Market
POTASH CORP SASK INC	57266	3513263	Market
POTBELLY CORP	23079	2006900	Market
POTLATCH CORP NEW	72581	1588200	Market
POWELL INDS INC	8928	279100	Market
POWER INTEGRATIONS INC	31012	425400	Market
POWER REIT	180	23900	Market
PPL CORP	2602	67300	Market
PRA HEALTH SCIENCES INC	8649	115300	Market
PRAXAIR INC	44099	332700	Market
PRECISION DRILLING CORP	3234	948252	Market
PREFERRED APT CMNTYS INC	1036	65800	Market
PREFERRED BK LOS ANGELES CA	19947	373057	Market
PREFORMED LINE PRODS CO	1672	36013	Market
PREMIER FINL BANCORP INC	2194	106431	Market
PREMIER INC	32908	914100	Market
PRESTIGE BRANDS HLDGS INC	27276	516500	Market
PRGX GLOBAL INC	10999	1692077	Market
PRICESMART INC	53795	614100	Market
PRIMERO MNG CORP	1661	4806824	Market
PRIMO WTR CORP	7325	576755	Market
PRIMORIS SVCS CORP	4529	181600	Market
PROASSURANCE CORP	27241	448038	Market
PROCTER AND GAMBLE CO	153491	1761229	Market
PROFIRE ENERGY INC	490	377200	Market
PROGENICS PHARMACEUTICALS IN	1979	291489	Market
PROGRESS SOFTWARE CORP	14176	458911	Market
PROGRESSIVE CORP OHIO	136026	3085200	Market
PROLOGIS INC	31695	540500	Market
PROOFPOINT INC	15273	175900	Market
PROPHASE LABS INC	279	133557	Market
PROS HOLDINGS INC	10989	401200	Market
PROSPERITY BANCSHARES INC	6128	95388	Market
PROTAGONIST THERAPEUTICS INC	294	25989	Market
PROTALIX BIOTHERAPEUTICS INC	1927	2300800	Market
PROTEON THERAPEUTICS INC	189	124200	Market
PROVIDENCE SVC CORP	46506	918900	Market
PROVIDENT BANCORP INC	215	9539	Market
PROVIDENT FINL HLDGS INC	7092	368415	Market
PROVIDENT FINL SVCS INC	27423	1080500	Market
PRUDENTIAL BANCORP INC NEW	6757	372090	Market
PS BUSINESS PKS INC CALIF	33084	249900	Market
PSIVIDA CORP	2339	1368000	Market
PSYCHEMEDICS CORP	11390	456500	Market
PTC INC	17242	312800	Market
PUBLIC STORAGE	10635	51000	Market
PUBLIC SVC ENTERPRISE GROUP	64197	1492600	Market
PULTE GROUP INC	24424	995665	Market
PURE STORAGE INC	31525	2461000	Market
PURECYCLE CORP	426	54960	Market
PVH CORP	87211	761670	Market
PZENA INVESTMENT MGMT INC	6671	656600	Market
Q2 HLDGS INC	5103	138100	Market
QAD INC	21191	661177	Market
QCR HOLDINGS INC	14481	305500	Market
QEP RES INC	8303	822100	Market
QIAGEN NV	53253	1588208	Market
QIWI PLC	8594	348200	Market
QORVO INC	18990	299906	Market
QTS RLTY TR INC	4626	88400	Market
QUAD / GRAPHICS INC	38196	1666500	Market
QUAKER CHEM CORP	20623	142000	Market
QUALCOMM INC	11185	202560	Market
QUALITY CARE PPTYS INC	417	22800	Market
QUALITY SYS INC	4250	246976	Market
QUALSTAR CORP	344	67102	Market
QUALYS INC	41738	1023000	Market
QUANEX BUILDING PRODUCTS COR	19892	940500	Market
QUANTA SVCS INC	35076	1065499	Market
QUANTUM CORP	8276	1059641	Market
QUARTERHILL INC	2127	1477003	Market
QUEST DIAGNOSTICS INC	48388	435300	Market
QUEST RESOURCE HLDG CORP	242	99851	Market
QUIDEL CORP	16623	612487	Market
QUINSTREET INC	5689	1364300	Market
QUINTILES IMS HOLDINGS INC	10878	121547	Market
QUMU CORP	1943	665412	Market
QUORUM HEALTH CORP	119	28700	Market
QUOTIENT TECHNOLOGY INC	407	35400	Market
R1 RCM INC	2142	571100	Market
RADA ELECTR INDS LTD	53	29508	Market
RADCOM LTD	2092	108100	Market
RADIAN GROUP INC	6120	374300	Market
RADIANT LOGISTICS INC	1361	253000	Market
RADISYS CORP	8524	2266999	Market
RADNET INC	5637	727400	Market
RADWARE LTD	11971	682495	Market
RAIT FINANCIAL TRUST	9151	4178700	Market
RALPH LAUREN CORP	16767	227200	Market
RAMBUS INC DEL	33245	2908586	Market
RAMCO-GERSHENSON PPTYS TR	3937	305200	Market
RAND LOGISTICS INC	53	135900	Market
RANDGOLD RES LTD	28891	326600	Market
RANGE RES CORP	4979	214891	Market
RAPID7 INC	944	56100	Market
RAVE RESTAURANT GROUP INC	56	27900	Market
RAVEN INDS INC	4229	127000	Market
RAYONIER ADVANCED MATLS INC	61190	3892500	Market
RAYONIER INC	37315	1297000	Market
RAYTHEON CO	213283	1320800	Market
RCI HOSPITALITY HLDGS INC	14702	616700	Market
RCM TECHNOLOGIES INC	3677	728200	Market
RE MAX HLDGS INC	38220	681900	Market
READING INTERNATIONAL INC	17791	1102973	Market
REALNETWORKS INC	5043	1164623	Market
REALOGY HLDGS CORP	1457	44900	Market
REALPAGE INC	49558	1378538	Market
REALTY INCOME CORP	8062	146100	Market
REATA PHARMACEUTICALS INC	1114	35200	Market
RECRO PHARMA INC	706	100400	Market
RED HAT INC	27506	287265	Market
RED LION HOTELS CORP	2291	311700	Market
RED ROCK RESORTS INC	11839	502700	Market
REDHILL BIOPHARMA LTD	216	25099	Market
REDWOOD TR INC	24231	1422000	Market
